title,price,stock,image_url,author,language,page_count,sub_category_id
Suç ve Ceza,24.99,50,https://images.unsplash.com/featured/?crime+punishment+book&sig=book1,Fyodor Dostoyevski,Turkish,672,1
Sefiller,29.99,40,https://images.unsplash.com/featured/?les+miserables+book&sig=book2,Victor Hugo,Turkish,1232,1
Küçük Prens,12.99,100,https://images.unsplash.com/featured/?little+prince+book&sig=book3,Antoine de Saint-Exupéry,Turkish,96,1
1984,14.99,80,https://images.unsplash.com/featured/?1984+orwell+book&sig=book4,George Orwell,English,328,2
Pride and Prejudice,16.99,60,https://images.unsplash.com/featured/?pride+prejudice+book&sig=book5,Jane Austen,English,432,2
The Great Gatsby,13.99,70,https://images.unsplash.com/featured/?great+gatsby+book&sig=book6,F. Scott Fitzgerald,English,180,2
Kürk Mantolu Madonna,11.99,90,https://images.unsplash.com/featured/?madonna+fur+coat+book&sig=book7,Sabahattin Ali,Turkish,160,1
Tutunamayanlar,32.99,35,https://images.unsplash.com/featured/?disconnected+turkish+book&sig=book8,Oğuz Atay,Turkish,724,1
Don Quixote,22.99,45,https://images.unsplash.com/featured/?don+quixote+book&sig=book9,Miguel de Cervantes,English,1072,2
Masumiyet Müzesi,26.99,55,https://images.unsplash.com/featured/?museum+innocence+book&sig=book10,Orhan Pamuk,Turkish,592,1
Crime and Punishment,19.99,50,https://images.unsplash.com/featured/?dostoevsky+crime+book&sig=book11,Fyodor Dostoevsky,English,545,2
Wuthering Heights,15.99,40,https://images.unsplash.com/featured/?wuthering+heights+book&sig=book12,Emily Brontë,English,416,2
