title,price,stock,image_url,author,language,format,sub_category_id
Dijital Suç ve Ceza,18.99,999,https://images.unsplash.com/featured/?ebook+crime&sig=eb1,Fyodor Dostoyevski,Turkish,EPUB,1
Dijital 1984,9.99,999,https://images.unsplash.com/featured/?ebook+1984&sig=eb2,George Orwell,English,PDF,2
Dijital Küçük Prens,7.99,999,https://images.unsplash.com/featured/?ebook+little+prince&sig=eb3,Antoine de Saint-Exupéry,Turkish,EPUB,1
The Alchemist (E-Book),11.99,999,https://images.unsplash.com/featured/?ebook+alchemist&sig=eb4,Paulo Coelho,English,EPUB,2
Dijital Kara Kitap,14.99,999,https://images.unsplash.com/featured/?ebook+black+book&sig=eb5,Orhan Pamuk,Turkish,PDF,1
Brave New World (E-Book),10.99,999,https://images.unsplash.com/featured/?ebook+brave+new+world&sig=eb6,Aldous Huxley,English,EPUB,2
Dijital Çalıkuşu,8.99,999,https://images.unsplash.com/featured/?ebook+calikusu&sig=eb7,Reşat Nuri Güntekin,Turkish,PDF,1
To Kill a Mockingbird (E-Book),12.99,999,https://images.unsplash.com/featured/?ebook+mockingbird&sig=eb8,Harper Lee,English,EPUB,2
Dijital Huzur,13.99,999,https://images.unsplash.com/featured/?ebook+huzur&sig=eb9,Ahmet Hamdi Tanpınar,Turkish,EPUB,1
Animal Farm (E-Book),8.99,999,https://images.unsplash.com/featured/?ebook+animal+farm&sig=eb10,George Orwell,English,PDF,2
