title,price,stock,image_url,author,language,sub_category_id
Sesli Suç ve Ceza,22.99,999,https://images.unsplash.com/featured/?audiobook+crime&sig=ab1,Fyodor Dostoyevski,Turkish,1
Sesli 1984,14.99,999,https://images.unsplash.com/featured/?audiobook+1984&sig=ab2,George Orwell,English,2
Sesli Küçük Prens,9.99,999,https://images.unsplash.com/featured/?audiobook+prince&sig=ab3,Antoine de Saint-Exupéry,Turkish,1
The Hobbit (Audiobook),19.99,999,https://images.unsplash.com/featured/?audiobook+hobbit&sig=ab4,J.R.R. Tolkien,English,2
Sesli Kürk Mantolu Madonna,12.99,999,https://images.unsplash.com/featured/?audiobook+madonna&sig=ab5,Sabahattin Ali,Turkish,1
Dune (Audiobook),24.99,999,https://images.unsplash.com/featured/?audiobook+dune&sig=ab6,Frank Herbert,English,2
Sesli İnce Memed,16.99,999,https://images.unsplash.com/featured/?audiobook+ince+memed&sig=ab7,Yaşar Kemal,Turkish,1
Sapiens (Audiobook),21.99,999,https://images.unsplash.com/featured/?audiobook+sapiens&sig=ab8,Yuval Noah Harari,English,2
Sesli Tutunamayanlar,28.99,999,https://images.unsplash.com/featured/?audiobook+tutunamayanlar&sig=ab9,Oğuz Atay,Turkish,1
Atomic Habits (Audiobook),17.99,999,https://images.unsplash.com/featured/?audiobook+atomic+habits&sig=ab10,James Clear,English,2
