title,price,stock,image_url,target,material,brand
Deri Cüzdan (Erkek),49.99,30,https://images.unsplash.com/featured/?leather+wallet+gift&sig=g1,men,Gerçek Deri,Gift Collection
İpek Fular (Kadın),39.99,40,https://images.unsplash.com/featured/?silk+scarf+gift&sig=g2,women,İpek,Gift Collection
Ahşap Oyuncak Seti (Çocuk),24.99,50,https://images.unsplash.com/featured/?wooden+toy+gift&sig=g3,kids,Ahşap,Gift Collection
Premium Kalem Seti,59.99,25,https://images.unsplash.com/featured/?premium+pen+set&sig=g4,men,Metal,Gift Collection
El Yapımı Takı Kutusu (Kadın),44.99,35,https://images.unsplash.com/featured/?jewelry+box+gift&sig=g5,women,Ahşap/Kadife,Gift Collection
Boyama Seti (Çocuk),19.99,60,https://images.unsplash.com/featured/?painting+set+kids&sig=g6,kids,Karışık,Gift Collection
Deri Saat Kayışı (Erkek),34.99,40,https://images.unsplash.com/featured/?leather+watch+strap&sig=g7,men,Deri,Gift Collection
Aromatik Mum Seti (Kadın),29.99,55,https://images.unsplash.com/featured/?aromatic+candle+set&sig=g8,women,Soya/Cam,Gift Collection
Eğitici Puzzle (Çocuk),16.99,70,https://images.unsplash.com/featured/?educational+puzzle+kids&sig=g9,kids,Ahşap,Gift Collection
Kitap ve Çikolata Hediye Seti,54.99,20,https://images.unsplash.com/featured/?book+chocolate+gift&sig=g10,unisex,Karışık,Gift Collection
