title,price,stock,image_url,material,creator
El Yapımı Deri Defter,45.99,20,https://images.unsplash.com/featured/?handmade+leather+notebook&sig=hm1,Gerçek Deri,Ahmet Usta
Makrome Çanta,65.99,15,https://images.unsplash.com/featured/?macrame+bag+handmade&sig=hm2,Pamuk İp,Zeynep Atölye
Seramik Kahve Fincanı Seti,38.99,30,https://images.unsplash.com/featured/?ceramic+coffee+cup+handmade&sig=hm3,Seramik,Elif Çömlekçi
Ahşap Kitap Ayracı (Özel Tasarım),14.99,80,https://images.unsplash.com/featured/?wooden+bookmark+handmade&sig=hm4,Ceviz Ağacı,WoodCraft Atölye
El Boyaması Porselen Tabak,55.99,12,https://images.unsplash.com/featured/?hand+painted+porcelain&sig=hm5,Porselen,Fatma Sanat
Örme Battaniye (El Tezgahı),89.99,8,https://images.unsplash.com/featured/?knitted+blanket+handmade&sig=hm6,Yün,Selin Örgü
Deri Bileklik (Unisex),22.99,50,https://images.unsplash.com/featured/?leather+bracelet+handmade&sig=hm7,Deri/Metal,Can Deri
El İşlemesi Yastık Kılıfı,34.99,25,https://images.unsplash.com/featured/?embroidered+pillow+handmade&sig=hm8,Keten,Ayşe Nakış
Seramik Saksı (Minimalist),28.99,35,https://images.unsplash.com/featured/?ceramic+planter+handmade&sig=hm9,Seramik,Terra Atölye
Ahşap Oyma Kutu,42.99,18,https://images.unsplash.com/featured/?wood+carved+box+handmade&sig=hm10,Ihlamur Ağacı,Mehmet Oyma
